"Scenario";"Region";"Carrier.x";"Indicator";"Year";"ymax";"ymin"
"2DS";"CHINA";"Oil";"Industry";2031;5.26994692616513;4.6397675573512
"2DS";"CHINA";"Gas";"Industry";2031;15.3572838531386;10.6398761569878
"2DS";"CHINA";"Electricity";"Industry";2031;39.1489645728027;34.6167406260976
"2DS";"CHINA";"Heat";"Industry";2031;5.97933915053445;5.69075308412085
"2DS";"CHINA";"Bioenergy";"Industry";2031;3.12859907435606;0.750098697197
"2DS";"CHINA";"Other renewables";"Industry";2031;0.698936003866492;0.497102158716901
"2DS";"CHINA";"Coal";"Industry";2032;37.6112645748787;35.1707047791244
"2DS";"CHINA";"Oil";"Industry";2032;5.20269945307348;4.55309591931514
"2DS";"CHINA";"Gas";"Industry";2032;16.1650388678493;10.8649211016189
"2DS";"CHINA";"Electricity";"Industry";2032;39.6382058941501;35.1065309438223
"2DS";"CHINA";"Heat";"Industry";2032;5.89735171242234;5.63413338545561
"2DS";"CHINA";"Bioenergy";"Industry";2032;3.36823641168538;0.817221447079928
"2DS";"CHINA";"Other renewables";"Industry";2032;0.759292358658738;0.616605165884705
"2DS";"CHINA";"Coal";"Industry";2033;36.7858534126103;34.219001610306
"2DS";"CHINA";"Oil";"Industry";2033;5.13485225220596;4.46502123528302
"2DS";"CHINA";"Gas";"Industry";2033;16.9887278582931;11.0913059320845
"2DS";"CHINA";"Electricity";"Industry";2033;40.1318103773536;35.6042500184018
"2DS";"CHINA";"Heat";"Industry";2033;5.81416134363871;5.57717658109656
"2DS";"CHINA";"Bioenergy";"Industry";2033;3.61175301349228;0.885668276972625
"2DS";"CHINA";"Other renewables";"Industry";2033;0.845410628019324;0.736819677088955
"2DS";"CHINA";"Coal";"Industry";2034;36.0610312350944;32.9335230737955
"2DS";"CHINA";"Oil";"Industry";2034;5.06639726487139;4.35047773937792
"2DS";"CHINA";"Gas";"Industry";2034;17.8288269973572;11.3190426503503
"2DS";"CHINA";"Electricity";"Industry";2034;40.6298366513035;36.1100919477018
"2DS";"CHINA";"Heat";"Industry";2034;5.72974137419085;5.51987965143497
"2DS";"CHINA";"Bioenergy";"Industry";2034;3.85924384509971;0.955478755844684
"2DS";"CHINA";"Other renewables";"Industry";2034;0.935149420613946;0.823121900349841
"2DS";"CHINA";"Coal";"Industry";2035;35.331867720939;31.6221765913758
"2DS";"CHINA";"Oil";"Industry";2035;4.9973262873468;4.20944558521561
"2DS";"CHINA";"Gas";"Industry";2035;18.6858316221766;11.548143402154
"2DS";"CHINA";"Electricity";"Industry";2035;41.1323444000308;36.6242572171269
"2DS";"CHINA";"Heat";"Industry";2035;5.6440643398211;5.44147843942505
"2DS";"CHINA";"Bioenergy";"Industry";2035;4.11080699703097;1.02669404517454
"2DS";"CHINA";"Other renewables";"Industry";2035;1.02669404517454;0.872139851634997
"2DS";"CHINA";"Coal";"Industry";2036;34.5983237492049;30.512341837793
"2DS";"CHINA";"Oil";"Industry";2036;4.92763096760002;4.10703173615433
"2DS";"CHINA";"Gas";"Industry";2036;19.4150591163659;11.7786204791647
"2DS";"CHINA";"Electricity";"Industry";2036;41.639394386551;37.146952964559
"2DS";"CHINA";"Heat";"Industry";2036;5.55710195221727;5.33084422319021
"2DS";"CHINA";"Bioenergy";"Industry";2036;4.36654381463459;1.09935697987969
"2DS";"CHINA";"Other renewables";"Industry";2036;1.10179635044156;0.921600883034685
"2DS";"CHINA";"Coal";"Industry";2037;33.8603597274979;29.3797150041911
"2DS";"CHINA";"Oil";"Industry";2037;4.85730280192301;4.00251466890193
"2DS";"CHINA";"Gas";"Industry";2037;20.1592623637888;12.0104863211809
"2DS";"CHINA";"Electricity";"Industry";2037;42.1510484773577;37.678393258592
"2DS";"CHINA";"Heat";"Industry";2037;5.46882506787231;5.21793797150042
"2DS";"CHINA";"Bioenergy";"Industry";2037;4.62655903421507;1.17351215423303
"2DS";"CHINA";"Other renewables";"Industry";2037;1.2249213796479;0.971511029418568
"2DS";"CHINA";"Coal";"Industry";2038;33.1179355848453;28.2235867033665
"2DS";"CHINA";"Oil";"Industry";2038;4.78633313147301;3.89582892229515
"2DS";"CHINA";"Gas";"Industry";2038;20.9189074740631;12.2437535183692
"2DS";"CHINA";"Electricity";"Industry";2038;42.6673696675862;38.218799390849
"2DS";"CHINA";"Heat";"Industry";2038;5.37920365552104;5.10268896887571
"2DS";"CHINA";"Bioenergy";"Industry";2038;4.8909609260534;1.24920601312725
"2DS";"CHINA";"Other renewables";"Industry";2038;1.34879055424012;1.02187643575154
"2DS";"CHINA";"Coal";"Industry";2039;32.3710107644427;27.0432178005991
"2DS";"CHINA";"Oil";"Industry";2039;4.71471313871869;3.78690629011553
"2DS";"CHINA";"Gas";"Industry";2039;21.6944801026958;12.4784348135425
"2DS";"CHINA";"Electricity";"Industry";2039;43.188422106869;38.7684001832203
"2DS";"CHINA";"Heat";"Industry";2039;5.28820676207755;4.98502353444587
